timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
60.00;60.16;t_1;264479899#0_0;18.08;0.00;22.97;DEFAULT_VEHTYPE;470.34;594.56
60.00;359.09;t_2;264479894#1_0;40.39;0.00;0.00;DEFAULT_VEHTYPE;595.19;657.92
60.00;60.50;t_3;23687156#0_0;178.60;0.00;21.93;DEFAULT_VEHTYPE;435.63;574.77
61.00;60.02;t_1;:7658781209_0_0;0.30;0.00;23.50;DEFAULT_VEHTYPE;490.73;606.26
61.00;359.09;t_2;264479894#1_0;40.39;0.00;0.00;DEFAULT_VEHTYPE;595.19;657.92
61.00;60.40;t_3;:cluster_2614544862_2614544863_2926412925_6_0;9.94;0.00;21.85;DEFAULT_VEHTYPE;454.63;585.55
62.00;59.54;t_1;264479903#1-AddedOnRampEdge_1;15.27;0.00;22.84;DEFAULT_VEHTYPE;510.42;617.83
62.00;359.09;t_2;264479894#1_0;40.39;0.00;0.00;DEFAULT_VEHTYPE;595.19;657.92
62.00;60.16;t_3;264479899#0_0;21.65;0.00;21.67;DEFAULT_VEHTYPE;473.43;596.33
63.00;59.54;t_1;264479903#1-AddedOnRampEdge_1;38.60;0.00;23.33;DEFAULT_VEHTYPE;530.53;629.66
63.00;359.09;t_2;264479894#1_0;40.39;0.00;0.00;DEFAULT_VEHTYPE;595.19;657.92
63.00;59.81;t_3;:7658781209_0_0;2.42;0.00;22.06;DEFAULT_VEHTYPE;492.56;607.34
64.00;59.54;t_1;264479903#1-AddedOnRampEdge_1;61.44;0.00;22.84;DEFAULT_VEHTYPE;550.22;641.25
64.00;359.09;t_2;264479894#1_0;40.39;0.00;0.00;DEFAULT_VEHTYPE;595.19;657.92
64.00;59.54;t_3;264479903#1-AddedOnRampEdge_1;16.74;0.00;22.19;DEFAULT_VEHTYPE;511.68;618.58
65.00;59.54;t_1;264479903#1-AddedOnRampEdge_1;84.15;0.00;22.71;DEFAULT_VEHTYPE;569.80;652.76
65.00;359.09;t_2;264479894#1_0;40.39;0.00;0.00;DEFAULT_VEHTYPE;595.19;657.92
65.00;59.54;t_3;264479903#1-AddedOnRampEdge_1;38.10;0.00;21.36;DEFAULT_VEHTYPE;530.10;629.41
66.00;60.01;t_1;:264479903#1-AddedOnRampNode_0_0;6.67;0.00;18.25;DEFAULT_VEHTYPE;585.56;661.97
66.00;359.09;t_2;264479894#1_0;40.39;0.00;0.00;DEFAULT_VEHTYPE;595.19;657.92
66.00;59.54;t_3;264479903#1-AddedOnRampEdge_1;59.13;0.00;21.03;DEFAULT_VEHTYPE;548.23;640.07
67.00;16.71;t_1;:cluster_206146660_206146811_10_0;15.23;0.00;16.23;DEFAULT_VEHTYPE;592.09;676.49
67.00;359.09;t_2;264479894#1_0;40.39;0.00;0.00;DEFAULT_VEHTYPE;595.19;657.92
67.00;59.54;t_3;264479903#1-AddedOnRampEdge_1;75.66;0.00;16.53;DEFAULT_VEHTYPE;562.48;648.45
68.00;5.50;t_1;:cluster_206146660_206146811_20_0;6.71;0.00;15.04;DEFAULT_VEHTYPE;594.59;691.30
68.00;359.09;t_2;264479894#1_0;40.39;0.00;0.00;DEFAULT_VEHTYPE;595.19;657.92
68.00;59.54;t_3;264479903#1-AddedOnRampEdge_1;88.18;0.00;12.52;DEFAULT_VEHTYPE;573.27;654.80
69.00;359.70;t_1;211138992#0_0;10.76;0.00;14.20;DEFAULT_VEHTYPE;594.86;705.49
69.00;359.09;t_2;264479894#1_0;40.39;0.00;0.00;DEFAULT_VEHTYPE;595.19;657.92
69.00;59.59;t_3;:264479903#1-AddedOnRampNode_0_0;0.53;0.00;8.08;DEFAULT_VEHTYPE;580.24;658.89
70.00;359.70;t_1;211138992#0_0;21.51;0.00;10.75;DEFAULT_VEHTYPE;594.81;716.24
70.00;357.99;t_2;:cluster_206146660_206146811_6_0;0.89;0.00;1.89;DEFAULT_VEHTYPE;595.06;659.80
70.00;60.01;t_3;:264479903#1-AddedOnRampNode_0_0;5.52;0.00;4.99;DEFAULT_VEHTYPE;584.56;661.39
71.00;359.70;t_1;211138992#0_0;28.52;0.00;7.02;DEFAULT_VEHTYPE;594.77;723.25
71.00;352.54;t_2;:cluster_206146660_206146811_6_0;5.31;0.00;4.41;DEFAULT_VEHTYPE;594.49;664.18
71.00;60.01;t_3;:264479903#1-AddedOnRampNode_0_0;6.32;0.00;0.80;DEFAULT_VEHTYPE;585.25;661.79
72.00;359.70;t_1;211138992#0_0;31.98;0.00;3.46;DEFAULT_VEHTYPE;594.75;726.71
72.00;344.55;t_2;:cluster_206146660_206146811_18_0;5.57;0.00;6.04;DEFAULT_VEHTYPE;593.04;669.97
72.00;60.01;t_3;:264479903#1-AddedOnRampNode_0_0;6.63;0.00;0.31;DEFAULT_VEHTYPE;585.52;661.94
73.00;359.70;t_1;211138992#0_0;33.21;0.00;1.22;DEFAULT_VEHTYPE;594.75;727.94
73.00;315.24;t_2;:cluster_206146660_206146811_18_0;13.40;0.00;7.83;DEFAULT_VEHTYPE;588.42;675.87
73.00;60.01;t_3;:264479903#1-AddedOnRampNode_0_0;6.68;0.00;0.05;DEFAULT_VEHTYPE;585.57;661.97
74.00;359.70;t_1;211138992#0_0;33.22;0.00;0.02;DEFAULT_VEHTYPE;594.75;727.95
74.00;254.58;t_2;:cluster_206146660_206146811_18_0;22.04;0.00;8.64;DEFAULT_VEHTYPE;580.37;676.22
74.00;60.01;t_3;:264479903#1-AddedOnRampNode_0_0;6.68;0.00;0.00;DEFAULT_VEHTYPE;585.57;661.97
75.00;359.70;t_1;211138992#0_0;33.23;0.00;0.00;DEFAULT_VEHTYPE;594.75;727.96
75.00;240.24;t_2;264479898#0_0;5.47;0.00;8.39;DEFAULT_VEHTYPE;572.80;672.73
